タイムスタンプ,あなたのチームは？,対戦相手は？,ダブルスの結果 [あなた],ダブルスの結果 [対戦相手],ダブルスのペア(あなた),ダブルスのペア(対戦相手),コメント,対戦日は？(省略すると本日)
2021/09/10 22:48:09,東京シティBoys,お上品関西軍団,6,0,文こし,サラザッキー,越ちゃん炸裂!!!,2021/09/05
2021/11/14 10:38:27,お上品関西軍団,チーム徳川家康,6,4,おー皿,父　ハルくん,,2021/11/13
2021/11/14 10:44:45,お上品関西軍団,チーム徳川家康,6,4,ほり　あっくん,渋くんちーちゃん,,2021/11/13
2021/11/14 10:48:44,東京シティBoys,お上品関西軍団,6,4,サキやん,あっちん,,2021/11/07
2021/11/14 10:51:01,TUBE,チームNAHANAHA,6,3,みぞつっちー,さとみちゃん・ハッシー,,2021/11/06
2021/11/14 10:53:04,TUBE,チーム桃太郎,6,0,ひろなめ,はせそーへー,,2021/11/03
2021/11/14 10:53:58,TUBE,チーム桃太郎,0,6,みぞつっちー,まつのり,,2021/11/03
2021/11/14 10:55:34,東京シティBoys,チーム徳川家康,6,2,さっきみい,しぶぽん,,2021/10/31
2021/11/14 10:56:17,東京シティBoys,チーム徳川家康,6,5,こしぶん,みほだっち,,2021/10/31
2021/11/14 10:57:14,東京シティBoys,チーム徳川家康,4,4,カベマ,チチハル,サスペンデッド。後日再試合,2021/10/31
2021/11/14 11:00:27,チーム桃太郎,チーム徳川家康,5,6,あやそーへ,しぶちー,,2021/09/26
2021/11/14 11:02:15,チーム桃太郎,チーム徳川家康,6,2,のりショ,みほだっち,,2021/09/26
2021/11/14 11:03:26,チーム桃太郎,チーム徳川家康,5,6,まっショ,ハル父ちゃ,,2021/09/26
2021/11/14 11:05:09,チームNAHANAHA,TUBE,4,6,兄さん両さん,すぎひろし,,2021/09/23
2021/11/14 11:05:56,チームNAHANAHA,TUBE,6,5,ひささとみちゃん,南なめちゃん,,2021/09/23
2021/11/14 11:07:31,チームNAHANAHA,TUBE,4,4,マーク・スナフ,つっちー・てつ,時間切れ。改めて日程調整の上、マークサーブから再開,2021/09/23
2021/11/14 11:10:05,TUBE,お上品関西軍団,6,5,なめてつ,ともちんザッキー,,2021/09/20
2021/11/14 11:10:56,TUBE,お上品関西軍団,4,6,すぎてつ,あっとも,,2021/09/20
2021/11/14 11:11:44,TUBE,お上品関西軍団,1,6,みぞひろ,さらオー,,2021/09/20
2021/11/14 11:12:58,東京シティBoys,チームNAHANAHA,5,6,文ちゃんこしちゃん,ひさちゃんハッシー,,2021/09/20
2021/11/14 11:13:50,東京シティBoys,チームNAHANAHA,6,1,まあくんかべちん,さとみちゃんマーク,,2021/09/20
